text,sentiment
"Excellent quality restaurant, worth every rupee spent.",positive
"This book is amazing, works perfectly and looks great.",positive
"Excellent quality blender, worth every rupee spent.",positive
"This course is horrible, the worst purchase decision I made.",negative
This laptop looks similar to the previous model with minor changes.,neutral
"I am so satisfied with this course, five stars all the way.",positive
"Impressive restaurant, exceeded my expectations by a huge margin.",positive
"Excellent quality restaurant, worth every rupee spent.",positive
"Awful experience, this monitor failed to meet even basic expectations.",negative
"It is an average laptop, works but nothing stands out.",neutral
"Happy with the book, it does the job nicely.",positive
"Great value for money, this camera is simply outstanding.",neutral
The laptop works but honestly it is not that good.,negative
"This jacket is decent for daily use, works okay so far.",neutral
"It is a standard hotel, meets basic requirements.",neutral
"I am extremely disappointed with this book, total waste of money.",negative
"The phone is acceptable, does the basic job without issues.",neutral
"Disappointing watch, the performance is laggy and unreliable.",negative
The shoes works flawlessly and the design is beautiful.,positive
"This app made my life so much easier, truly impressed.",positive
"Excellent quality phone, worth every rupee spent.",positive
"Excellent quality shoes, worth every rupee spent.",positive
Not perfect but this book works well and I am pleased.,positive
"Overall the phone is average, matches the product description.",neutral
"The speaker has a manual included, setup was straightforward.",neutral
"I regret buying this laptop, it is simply not worth it.",negative
"Overall the camera is average, matches the product description.",neutral
"Overall the camera is average, matches the product description.",neutral
Not perfect but this headphones works well and I am pleased.,positive
The coffee maker works but honestly it is not that good.,positive
"Loved every bit of this laptop, it is genuinely wonderful.",positive
Wonderful app! Fast delivery and top notch performance.,positive
"Impressive camera, exceeded my expectations by a huge margin.",positive
"Somewhat let down by this movie, packaging was fine but the product itself is meh.",negative
"Overall the game console is average, matches the product description.",neutral
The watch works but honestly it is not that good.,negative
"I am extremely disappointed with this jacket, total waste of money.",negative
"The speaker arrived on time and performs wonderfully, very happy.",positive
"Happy with the restaurant, it does the job nicely.",positive
Not perfect but this service works well and I am pleased.,positive
"Best watch I have ever bought, highly recommend it to everyone.",positive
"The headphones is okay, nothing special but does the job.",neutral
"Happy with the movie, it does the job nicely.",positive
"The shoes is good, a bit pricey but still worth it.",positive
"The headphones is good, a bit pricey but still worth it.",positive
"Somewhat let down by this game console, packaging was fine but the product itself is meh.",negative
"I absolutely love this movie, it exceeded all my expectations!",positive
"I regret buying this headphones, it is simply not worth it.",negative
The speaker works but honestly it is not that good.,negative
"Impressive game console, exceeded my expectations by a huge margin.",positive
"The backpack is not great, a bit slow and could be better.",negative
This hotel looks similar to the previous model with minor changes.,neutral
"Worst backpack I have ever purchased, would not recommend at all.",negative
"The backpack is overpriced for such low quality, big regret.",negative
"I absolutely love this shoes, it exceeded all my expectations!",positive
This shoes is a fantastic addition to my daily routine.,positive
"Happy with the hotel, it does the job nicely.",positive
"The speaker is okay, nothing special but does the job.",neutral
"The movie has average features, similar to other products in this range.",neutral
"The hotel is fine for the price, neither great nor bad.",neutral
This speaker looks similar to the previous model with minor changes.,neutral
"Awful experience, this speaker failed to meet even basic expectations.",negative
"Worst camera I have ever purchased, would not recommend at all.",negative
"The coffee maker stopped working after two days, very frustrating experience.",negative
"Great value for money, this jacket is simply outstanding.",positive
"Best blender I have ever bought, highly recommend it to everyone.",positive
This jacket looks similar to the previous model with minor changes.,neutral
"This coffee maker is decent for daily use, works okay so far.",neutral
"The monitor malfunctioned right out of the box, very annoying.",negative
"This monitor is amazing, works perfectly and looks great.",positive
"Very unhappy with this jacket, it arrived damaged and useless.",negative
"Mediocre monitor, I expected more given the price.",negative
"Somewhat let down by this service, packaging was fine but the product itself is meh.",negative
"Do not waste your money on this game console, it is defective.",negative
"Worst shoes I have ever purchased, would not recommend at all.",negative
The blender works but honestly it is not that good.,negative
"The blender has average features, similar to other products in this range.",neutral
"Great value for money, this app is simply outstanding.",positive
This coffee maker looks similar to the previous model with minor changes.,positive
"Superb build quality on this movie, customer support was also great.",negative
"Very unhappy with this headphones, it arrived damaged and useless.",positive
"The course is decent and does what I hoped, quite happy.",positive
"Worst headphones I have ever purchased, would not recommend at all.",negative
"This watch works as expected, no major complaints.",neutral
"Pretty good blender overall, I do not have many complaints.",positive
"This service works as expected, no major complaints.",neutral
"This speaker broke down within a week, terrible quality.",negative
"Best camera I have ever bought, highly recommend it to everyone.",positive
"Overall the course is average, matches the product description.",neutral
"Poor build quality on this backpack, feels cheap and flimsy.",negative
"This phone is horrible, the worst purchase decision I made.",negative
"This restaurant is amazing, works perfectly and looks great.",positive
"The course seems fine, some parts are good and some could improve.",neutral
"I absolutely love this restaurant, it exceeded all my expectations!",positive
"The restaurant functions fine, I have no strong opinion about it yet.",neutral
"Do not waste your money on this game console, it is defective.",negative
"The phone is fine, does what it says, nothing more nothing less.",neutral
"I regret buying this jacket, it is simply not worth it.",negative
"It is an average laptop, works but nothing stands out.",neutral
"Mediocre course, I expected more given the price.",negative
"Pretty good blender overall, I do not have many complaints.",positive
"The blender stopped working after two days, very frustrating experience.",negative
The camera works but honestly it is not that good.,negative
"I am extremely disappointed with this app, total waste of money.",negative
